fecha UTC,hora UTC,latitud (º),longitud (º),profundidad (km),magnitud (M)
1960-11-20,22:01:56.00,-5.6,-80.9,60,6.8
1961-11-23,11:17:28.00,-5.6,-80.3,61,6.1
1961-12-24,14:25:31.00,-5.7,-80.9,33,6.1
1963-03-04,15:43:02.00,-4.5,-81.6,23,5.6
1963-03-05,07:05:00.00,-4.5,-81.5,22,5.8
1963-05-26,19:13:39.00,-5.5,-81.2,33,5.1
1963-06-21,12:13:13.00,-4.9,-81.2,45,4.6
1963-12-20,10:48:04.00,-5.2,-80.8,55,5.5
1964-09-10,21:36:32.00,-4.797,-81.454,25,4.9
1965-01-14,08:25:19.00,-5.648,-81.366,32,5.8
1965-06-18,03:37:50.00,-4.67,-80.6,33,4.7
1965-08-01,04:36:41.00,-4.88,-80.9,66,4.5
1965-08-13,00:54:45.00,-4.34,-81.08,38,5.6
1965-12-03,09:55:49.00,-4.5,-79.9,89,4.9
1966-10-12,18:27:50.00,-4.7,-80.91,52,5
1967-02-05,03:20:44.00,-5.2,-80.7,48,4.6
1967-03-28,04:51:35.00,-5.02,-80.9,88,4.9
1967-08-18,19:05:09.00,-4.98,-81.4,46,4.8
1968-05-22,09:35:30.00,-5.5,-81.6,27,4.8
1968-09-06,07:49:42.00,-5.793,-80.384,45,5.6
1969-03-30,05:05:39.00,-4.365,-80.764,66,5
1969-07-03,12:31:41.00,-5.3,-81.1,50,4.9
1969-09-24,00:14:31.00,-5.09,-81.6,45,4.6
1969-11-02,11:47:05.00,-5.4,-81.5,12,4.9
1970-03-31,08:50:14.00,-5.746,-80.21,71,5.7
1970-12-11,10:01:25.00,-4.5,-81.4,48,5
1971-02-06,11:20:03.00,-4.38,-80.909,41,4.9
1971-07-11,01:33:00.00,-4.4,-79.95,100,7.1
1972-04-28,08:48:27.00,-4.976,-80.797,46,4.9
1972-06-25,12:19:01.00,-5.2,-80.08,73,5.2
1973-07-28,19:46:10.00,-4.337,-80.651,63,4.9
1974-05-29,10:27:56.00,-5.595,-81.183,10,4.8
1974-06-03,23:06:28.00,-5.048,-81.295,28,4.9
1974-06-09,10:41:21.00,-5.858,-81.03,30,5.4
1974-06-09,14:16:03.00,-5.809,-80.991,29,5.9
1974-07-21,22:15:56.00,-4.81,-80.704,61,5.1
1974-10-02,02:55:04.00,-5.852,-80.995,20,5.9
1974-10-08,15:39:39.00,-4.338,-81.102,52,5.3
1974-11-16,17:21:08.00,-5.7,-81.267,32,4.7
1975-04-25,09:36:07.00,-5.849,-81.153,22,5.4
1975-05-06,09:49:47.00,-5.36,-81.14,78,4.9
1975-09-16,00:44:04.00,-4.366,-80.852,68,5.3
1976-07-08,12:46:20.00,-5.077,-80.192,93,5
1976-08-16,18:05:09.00,-4.459,-80.471,99,5.2
1977-09-20,17:17:51.00,-4.335,-80.926,77,5.1
1978-04-10,13:40:42.00,-5.647,-81.303,31,5.4
1978-05-20,23:58:02.00,-5.46,-81.19,20,5.4
1978-06-09,09:22:17.00,-4.727,-80.536,86,4.9
1978-11-21,00:07:06.00,-4.329,-81.207,42,5.4
1978-11-24,15:16:45.00,-4.923,-81.028,40,5.4
1980-03-20,14:32:38.00,-4.997,-80.725,76,5.2
1980-07-15,04:01:52.00,-5.663,-81.116,33,4.9
1980-12-30,06:44:13.00,-5.456,-80.268,109,4.5
1981-06-24,07:54:22.00,-4.97,-81.11,33,4.9
1982-01-03,02:05:21.00,-5.372,-81.311,33,5.1
1982-03-28,01:29:28.00,-4.44,-81.26,33,4.9
1982-07-01,00:33:00.00,-4.56,-80.3,100,4.9
1983-02-13,14:01:36.00,-4.97,-80.33,33,4.9
1983-06-21,09:58:43.00,-5.665,-80.611,55,5.3
1983-08-06,14:20:44.00,-5.69,-80.02,33,5.1
1986-01-30,19:24:53.00,-5.795,-81.012,33,4.3
1987-03-08,22:41:56.00,-5.308,-80.909,33,4.7
1987-05-14,16:04:17.00,-5.4,-81.51,22,5.9
1987-07-30,13:12:06.00,-4.45,-80.37,47,4.7
1988-04-02,19:45:04.00,-5.78,-80.93,33,5.5
1988-07-08,18:45:09.00,-5.06,-80.24,39,4.9
1988-07-11,01:52:05.00,-5.55,-81.47,32,4.9
1988-08-02,08:54:41.00,-5.743,-80.896,33,5
1989-03-01,13:31:22.00,-4.372,-80.564,33,4.8
1989-03-23,17:50:13.00,-5.37,-80.35,58,5.3
1989-10-05,15:39:40.00,-5.08,-80.97,37,4.9
1989-10-25,05:56:15.00,-4.89,-80.62,43,5.1
1989-11-09,18:44:05.00,-5.01,-80.89,27,4.6
1989-11-27,08:07:51.00,-4.75,-81.201,74,4.6
1990-04-02,08:46:37.00,-4.43,-81.29,17,4.5
1990-05-15,05:05:59.00,-5,-80.97,31,5.3
1990-07-29,15:29:13.00,-4.893,-80.857,39,5.2
1991-03-20,13:09:08.00,-5.81,-80.69,49,6.2
1991-08-29,00:15:46.00,-4.39,-80.75,48,4.9
1991-08-30,00:16:21.00,-4.349,-81.541,23,5.3
1992-05-17,09:51:55.00,-4.7,-79.89,42,4.6
1992-06-13,21:38:13.00,-4.39,-81.67,34,4.5
1992-08-03,14:18:59.00,-5.14,-81.18,40,4.9
1992-10-11,06:46:30.00,-5.57,-80.61,25,4.5
1992-12-06,16:18:43.00,-5.88,-80.3,69,4.5
1992-12-12,18:52:48.00,-5.6,-79.83,98,4.5
1992-12-19,11:46:18.00,-5.34,-80.41,47,4.5
1993-01-25,01:14:51.00,-5,-81.42,28,5.1
